"PFAll(上が冬季,下が夏季)",PDINVCDP1,Kp,Ti,PDINVCDP2,,,PDINVCDP3,,,PDINVCDP4,,,PFVlvCP2, ,,PFINVCP2,,,PFINVCP1,,,PFINVNP,,,PFINVSCP1,,,PFINVSCP2,,,PFINVSCP3,,,PFINVSCP4,,,PFVlvCh1CHEX,,,PFVlvSCP4,,,PFVlvChAHU,,,PFVlvHtAHU,,,PFINVSHP1,,,PFINVSHP2,,,PFVlvSHP2,,,PFVlvHt1HHEX,,,PFVlvHP1,,,PFINVHP1,,,PFVlvCT,,
912.5,28.839,0.042,192,0,0.088,184,34.66,0.089,307,0,0.066,507,0,0.005,277,14.71,0.003,438,0,0.053,334,108.67,0.053,396,0,0.057,400,0,0.071,251,42.16,0.023,415,3.1109,0.017,449,0,0.059,22,95.799,0.018,490,94.083,0.111,477,176.92,0.044,265,25.316,0.08,473,1.1135,0.046,92,81.889,0.004,423,0,0.093,390,0,0.081,18,151,0.007,347,54.234,0.063,237
3595.7,56.144,0.091,384,46.737,0.088,184,84.111,0.087,198,53.518,0.066,507,0,0.004,78,1285.2,0.004,295,103.89,0.053,334,31.768,0.084,210,71.576,0.057,400,41.137,0.071,251,50.896,0.045,96,80.982,0.086,201,0,0.1,436,546.5,0.011,75,1143.3,0.003,342,0,0.044,265,0,0.08,473,0,0.046,92,0,0.004,423,0,0.096,175,0,0.062,301,0,0.007,347,0,0.063,237
11653,1415.1,0.09,303,0,0.006,215,35.142,0.001,377,0,0.077,379,0,0.033,401,712.23,0.037,498,0,0.087,292,587.7,0.007,209,0,0.095,369,0,0.013,78,29.001,0.058,257,3.2144,0.047,496,0,0.003,9,582.44,0.057,254,937.22,0.029,238,4080.1,0.086,406,321.79,0.009,83,19.49,0.048,251,56.969,0.085,9,0,0.003,204,0,0.008,84,2831.8,0.018,291,40.442,0.082,357
20939,44.512,0.078,348,46.745,0.006,215,82.012,0.1,4,56.284,0.077,379,0,0.018,214,11837,0.055,106,193.95,0.087,292,52.542,0.003,263,44.715,0.095,369,69.357,0.013,78,31.016,0.012,314,584.18,0.06,328,0,0.042,434,790.17,0.058,182,7105.7,0.058,329,0,0.086,406,0,0.009,83,0,0.048,251,0,0.085,9,0,0.062,147,0,0.019,348,0,0.018,291,0,0.082,357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,40.803,0.027,47,0,0.101,315,35.748,0.093,423,0,0.035,489,0,0.006,468,692.9,0.067,436,0,0.009,248,116.81,0.053,428,0,0.017,329,0,0.068,356,30.465,0.071,415,3.3328,0.081,225,0,0.038,22,674.68,0.067,427,416.66,0.059,413,242.26,0.04,275,27.517,0.044,445,1.181,0.043,156,99.101,0.002,359,0,0.093,166,0,0.092,302,330.26,0.007,463,58.259,0.063,236
9626,107.64,0.045,453,54.989,0.093,235,406.97,0.072,50,64.397,0.052,348,0,0.085,408,5141.9,0.015,380,266.4,0.073,415,40.002,0.025,247,1273.2,0.003,413,62.58,0.081,64,51.848,0.094,497,161.93,0.089,110,0,0.088,498,1190.7,0.018,413,803.44,0.031,464,0,0.028,390,0,0.003,113,0,0.082,153,0,0.048,121,0,0.018,453,0,0.082,478,0,0.023,61,0,0.08,69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912.5,28.839,0.042,192,0,0.088,184,34.66,0.089,307,0,0.066,507,0,0.005,277,14.71,0.003,438,0,0.053,334,108.67,0.053,396,0,0.057,400,0,0.071,251,42.16,0.023,415,3.1109,0.017,449,0,0.059,22,95.799,0.018,490,94.083,0.111,477,176.92,0.044,265,25.316,0.08,473,1.1135,0.046,92,81.889,0.004,423,0,0.093,390,0,0.081,18,151,0.007,347,54.234,0.063,237
3595.7,56.144,0.091,384,46.737,0.088,184,84.111,0.087,198,53.518,0.066,507,0,0.004,78,1285.2,0.004,295,103.89,0.053,334,31.768,0.084,210,71.576,0.057,400,41.137,0.071,251,50.896,0.045,96,80.982,0.086,201,0,0.1,436,546.5,0.011,75,1143.3,0.003,342,0,0.044,265,0,0.08,473,0,0.046,92,0,0.004,423,0,0.096,175,0,0.062,301,0,0.007,347,0,0.063,237
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4625,23.896,0.043,207,0,0.07,307,58.52,0.029,260,0,0.034,492,0,0.038,232,680.17,0.065,436,0,0.01,184,162.53,0.053,431,0,0.008,333,0,0.098,31,31.771,0.023,404,3.1109,0.088,65,0,0.091,374,677.72,0.003,490,418.77,0.011,413,903.82,0.036,275,45.605,0.076,381,1.4217,0.036,28,185.55,0.094,142,0,0.083,72,0,0.092,238,1377.5,0.002,111,54.569,0.002,227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
