"	1960年度(1月)	1970年度(9月)	1980年度(7月)	1990年度(8月)	2001年度(7月)	2010年度(7月)	2015年度(8月)	2016年度(8月)"
"1時	230	785	1520	2620	3780	3864.6	3264	3091"
"2時	220	745	1380	2510	3500	3554	3022	2857"
"3時	210	720	1280	2360	3250	3347	2875	2725"
"4時	205	710	1260	2187	3060	3244.9	2812	2681"
"5時	215	715	1250	2100	3000	3183.6	2798	2671"
"6時	240	745	1280	2180	3010	3192.6	2814	2702"
"7時	280	820	1390	2450	3430	3511.9	3056	2942"
"8時	300	930	1620	2980	4120	4030.1	3484	3377"
"9時	375	1330	2170	3970	5125	4796.8	4065	4044"
"10時	410	1500	2560	4500	5870	5429.2	4528	4726"
"11時	420	1550	2710	4760	6020	5711.8	4738	5030"
"12時	410	1545	2760	4890	6330	5863.2	4876	5184"
"13時	330	1410	2510	4615	6240	5763.2	4809	5101"
"14時	410	1570	2800	4950	6435	5918.5	4957	5232"
"15時	415	1560	2820	4990	6430	5998.8	4954	5332"
"16時	410	1540	2790	4890	6300	5925.4	4850	5302"
"17時	430	1510	2760	4820	6180	5862.1	4802	5230"
"18時	470	1437	2510	4550	5900	5587.5	4602	4978"
"19時	437	1420	2370	4490	5740	5391.8	4550	4874"
"20時	410	1375	2310	4265	5630	5344.8	4484	4776"
"21時	400	1300	2180	3950	5245	5064.5	4262	4504"
"22時	360	1188	2000	3570	4840	4752.4	4036	4191"
"23時	310	1050	1870	3480	4555	4591	3902	3977"
"24時	250	900	1750	3045	4130	4249.5	3625	3670"
